node,out_suspicion,in_suspicion,out_degree,in_degree,pagerank,risk_score
192.168.1.190,85.67605055852871,11.901754373341708,156,14,0.007845544772511077,54.8425156443685
192.168.1.31,88.73919768721912,0.0,69,0,0.0017350597856801758,42.396026086844785
192.168.1.30,74.32494967234483,2.7094061619662484,60,2,0.0025815303545205725,36.74331802359871
192.168.1.34,65.77246248943996,1.3299129993165983,53,1,0.0022694559225329355,32.10841278675547
192.168.1.152,47.97858286535682,13.077919584866471,55,11,0.003316305065044883,29.71547228261568
192.168.1.195,42.044117681162376,13.043899669049717,39,11,0.0033226056436265502,25.731481494308593
2405:6e00:10ce:2c00:20c:29ff:feee:e07a,36.55687007817057,0.0,101,0,0.0017350597856801758,24.723095043225364
192.168.1.180,29.784021976153706,1.121405976993163,25,1,0.001796142094960119,14.850389811978424
192.168.1.32,22.54106572949644,0.0,19,0,0.0017350597856801758,10.916773303755713
192.168.1.193,12.474493150698958,10.18432457811353,12,9,0.004759751411261114,10.146046583995894
192.168.1.39,11.205650372878614,0.0,9,0,0.0017350597856801758,5.382607161108583
192.168.1.1,3.6077828789473396,7.949029770239219,4,7,0.002527464634979861,4.928327575577698
192.168.1.36,9.338590475545047,0.0,7,0,0.0017350597856801758,4.435783202175155
2405:6e00:10ce:2c00:9064:17:85d2:57d4,8.028626182962425,0.0,8,0,0.0017350597856801758,4.011797485142106
192.168.1.255,0.0,7.648336815777976,0,10,0.0066828571161655585,3.295837616156626
192.168.1.37,4.968151123259882,2.278320445570131,4,2,0.004329945093375968,3.2716225719936673
192.168.1.33,4.926620091975298,2.310591720534683,4,2,0.004329945093375968,3.2646915419691993
117.18.237.29,0.0,7.856195558849649,0,6,0.0020010855981964252,2.9572588847745336
192.168.1.184,0.9800119291999423,6.138499187116274,1,5,0.013197733352841811,2.8361940744854275
192.168.1.194,1.8672604682193241,4.447065950981083,2,4,0.003403986237740452,2.6817047698296026
