run_id,timestamp,model_name,accuracy,precision_macro,recall_macro,f1_macro,n_train,n_test
20260329_093443,2026-03-29T09:41:13.770418,RandomForestClassifier,0.9705825735435661,0.9108134215488652,0.9658504474237313,0.9172441575479283,133331,57143
20260329_135657,2026-03-29T14:02:07.564977,RandomForestClassifier,0.9694559285596164,0.9098048945167345,0.9683516104724976,0.9173589923849483,0.9968736585988355,141096,60470
20260329_164443,2026-03-29T16:45:45.589806,RandomForestClassifier,0.9694559285596164,0.9098048945167345,0.9683516104724976,0.9173589923849483,0.9968736585988355,141096,60470
20260330_093938,2026-03-30T09:40:40.920282,RandomForestClassifier,0.9694559285596164,0.9098048945167345,0.9683516104724976,0.9173589923849483,0.9968736585988355,141096,60470
